ADR_EGAID;STR_ESID;BDG_EGID;ADR_EDID;STN_LABEL;ADR_NUMBER;BDG_CATEGORY;BDG_NAME;ZIP_LABEL;COM_FOSNR;COM_CANTON;ADR_STATUS;ADR_OFFICIAL;ADR_VALID;ADR_MODIFIED;ADR_EASTING;ADR_NORTHING
101051736;10024292;3032897;0;Bnenmattweg;27;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.58064259;47.4593116
101557270;10024288;245053106;0;Alter Kirchweg;27;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.59082233;47.46213185
102402390;10024299;245065892;0;Nespelmattweg;1c;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594600237;47.46148827
101151192;10063994;2351766;0;Rauracherweg;15;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595242449;47.45887913
101116161;10107056;3028480;0;Muggenbergweg;35;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.596406705;47.45794218
101084477;10107056;3029209;0;Muggenbergweg;44;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595676066;47.45751146
100332726;10051582;410175;0;Hauptstrasse;82a;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589470181;47.45764559
100338910;10024299;410269;0;Nespelmattweg;29;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.597712705;47.46008998
100339460;10132128;410396;0;Allmendgasse;30;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.584384995;47.46026933
100339159;10051582;410131;0;Hauptstrasse;47;other_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589686652;47.4591653
101381182;10024300;245000181;0;R?merstrasse;2c;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.593775426;47.46060796
100332771;10177200;410221;0;Moosackerweg;1;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591445796;47.45753508
101677714;10051582;245055175;0;Hauptstrasse;74d;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;31.01.2021;7.589511055;47.45803228
100341067;10024290;410475;0;Bergmattenweg;48;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581463661;47.45887888
100338943;10051583;410304;0;Keltenweg;4b;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593002598;47.45934982
101381185;10024300;245000184;0;R?merstrasse;5a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594041475;47.46088642
100338977;10024288;410338;0;Alter Kirchweg;6b;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591283767;47.46116888
101461379;10087183;245043983;0;Im Noll;12;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.587410581;47.46094005
100332762;10113462;410212;0;Mettliweg;18;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591739756;47.45830818
101404479;10177200;11516231;0;Moosackerweg;13;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.593116318;47.45739796
102471033;10087186;245067858;0;Vogtackerweg;7a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.588989492;47.45647698
100341053;10024290;410461;0;Bergmattenweg;22;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581438457;47.45937358
101572847;10051582;245051488;1;Hauptstrasse;76;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.589962424;47.45820258
101152699;10051583;2351773;0;Keltenweg;17;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.595456294;47.45944547
101556287;10024288;410333;1;Alter Kirchweg;35;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.591075007;47.46237436
100339584;10024291;410510;0;Buchenweg;2;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.587309275;47.45789121
100341052;10024290;410460;0;Bergmattenweg;20;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581597717;47.45941836
100341064;10024290;410472;0;Bergmattenweg;43;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.581874118;47.45863553
100338961;10087182;410322;0;Helgenmattweg;11;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.592013131;47.46114993
101379315;10087183;245000109;0;Im Noll;16a;special;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;26.01.2021;7.586694455;47.46094996
100341037;10087180;410354;0;Brunnmattweg;23;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.588434453;47.4619011
101379613;10057780;245000247;0;Baumgartenweg;12a;non_residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.588761342;47.46023678
101077953;10113461;3029701;0;Alemannenweg;18b;residential;;4148 Pfeffingen;2772;BL;real;WAHR;WAHR;25.06.2021;7.594521949;47.4573781
